Cell_Type,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8
ASDC,SIGLEC6,AXL,,,,,,
B lineage,CD19,VPREB1,PAX5,,,,,
B1,CD27,SPN,CCR10,,,,,
CD8aa,PDCD1,GNG4,ZNF683,,,,,
CHONDROCYTE,CSPG4,COL9A1,HAPLN1,,,,,
CYCLING,MKI67,MKI67,,,,,,
CYCLING_B,MKI67,,,,,,,
DC1,CLEC9A,BATF3,,,,,,
DC2,CLEC10A,CD1C,,,,,,
DC_progenitor,ACY3,TIFAB,KIF17,,,,,
DEVELOPING NEPHRON,PAX2,,,,,,,
DN(P),TRGC2,TRDC,HIVEP3,,,,,
DN(Q),RAG1,RAG2,TP53INP1,PTCRA,RGPD3,,,
DN(early),IGLL1,ST18,,,,,,
DP(P),SMPD3,,,,,,,
DP(Q),AQP3,RORC,,,,,,
ENDOTHELIUM,CDH5,PECAM1,CD34,,,,,
ENTEROENDOCRINE CELL,CHGA,NEUROD1,NEUROG3,,,,,
EO_BASO_MAST,CLC,KIT,TPSAB1,,,,,
EPITHELIUM,EPCAM,CDH1,KRT19,,,,,
ERY,HBB,,,,,,,
Early Progenitor,CD34,SPINK2,MLLT3,,,,,
Early_ERY,KLF1,APOE,FAM178B,,,,,
Early_MK,HBD,PF4,,,,,,
Ery lineage,HBB,HBG1,,,,,,
FIBROBLAST,PDGFRA,,,,,,,
GLIAL CELL,SOX10,SOX2,,,,,,
HEPATOCYTE,APOA1,ALB,AFP,,,,,
HSC_MPP,CLEC9A,HLF,CD34,SPINK2,,,,
ILC2,PTGDR2,HPGDS,GATA3,,,,,
ILC3,RORC,IL1R1,IL23R,KIT,,,,
IMMUNE,PTPRC,,,,,,,
INTERSTITIAL CELLS OF CAJAL,ETV1,KIT,,,,,,
KERATINOCYTE,KRT14,KRT5,GATA3,,,,,
LANGERHANS_CELLS,IDO1,CD207,CD1A,,,,,
LATE PRO B,CD27,RAG1,DNTT,VPREB3,,,,
Late_ERY,GYPA,GYPB,SLC4A1,,,,,
MACROPHAGE_ERY,C1QA,CD163,,,,,,
MAC_IRON_RECYCLING,CD5L,APOE,VCAM1,,,,,
MAC_KUPFFER_LIKE,ENG,KDR,CAV1,,,,,
MAC_LYVE1_HIGH,F13A1,LYVE1,SPP1,,,,,
MAC_MHCII_HIGH,HLA-DRA,HLA-DPA1,CLEC7A,,,,,
MAC_PROLIFERATING,TOP2A,MKI67,,,,,,
MAC_TLF+,TIMD4,FOLR2,LYVE1,,,,,
MAC_TREM2,TREM2,P2RY12,,,,,,
MATURE,IGHD,MS4A1,CD40,FCER2,,,,
MATURE_T,CCR7,CD5,CD27,CD8A,CD8B,CD4,,
MELANOCYTE,PMEL,TYR,TYRP1,MLANA,,,,
MEMP,GATA2,,,,,,,
MEP,KLF1,ITGA2B,,,,,,
MESOTHELIUM,UPK3B,LRRN4,,,,,,
MIGRATORY_DC,CCR7,LAMP3,,,,,,
MLP,BCL11A,IL7R,IL2RG,,,,,
MUSCLE SATELLITE CELLS,PAX7,MYOD1,MYF5,,,,,
MYOFIBROBLAST,ACTA2,,,,,,,
MYSENCHYMAL LYMPHOID TISSUE ORGANISER,CCL19,CCL21,CXCL13,,,,,
Megakaryocyte Erythroid Precursors,TESPA1,GATA2,FCER1A,,,,,
Mid_ERY,BLVRB,CD36,OAT,,,,,
Monocyte_lineage,CD52,S100A8,MS4A6A,CD14,CXCR4,CCR2,IL1B,CD300E
Myeloid lineage,MPO,CSF1R,CEBPA,,,,,
Myeloid_progenitor,PRSS57,PRTN3,AZU1,,,,,
NEURON,TUBB2B,STMN4,ELAVL3,,,,,
NK,KLRD1,KLRF1,NKG7,NCAM1,,,,
Neutrophil lineage,ELANE,DEFA4,LCN2,LTF,ORM1,,,
OSTEOBLAST,IBSP,PHOSPHO1,IFITM5,,,,,
OSTEOCLAST,MMP9,ACP5,,,,,,
PERIVASCULAR MACROPHAGE,C1QA,RNASE1,LYVE1,,,,,
PLASMA B,JCHAIN,SDC1,CD38,,,,,
PRE -> IMMATURE,MME,IDH2,SPIB,IL4R,IGHM,,,
PRE PRO B,FLT3,CD19,VPREB1,,,,,
PRO -> PRE,CD24,TNFRSF17,,,,,,
PRO B,MME,CDC45,DHFR,MKI67,,,,
Proliferating,TOP2A,MKI67,,,,,,
SKELETAL MUSCLE,MYL1,ACTA1,TNNT3,,,,,
SMOOTH MUSCLE,MYH11,TAGLN,ACTA2,DES,,,,
SPLENIC FIBRO,NKX2-5,,,,,,,
T lineage,CD3D,BCL11B,,,,,,
TYPE_1_INNATE_T,NKG7,EOMES,TBX21,IFNG-AS1,,,,
TYPE_3_INNATE_T,CD40LG,RORC,CCR6,ANXA1,,,,
Treg,FOXP3,CTLA4,,,,,,
VSMC/PERICYTE,ACTA2,TAGLN,RGS5,,,,,
VSMC_PERICYTE_III,PDGFRA,TAGLN,RGS5,,,,,
YS_ERY,HBZ,HBE1,,,,,,
abT(entry),CCR9,SATB1,TOX2,,,,,
innate,KLRB1,ZBTB16,,,,,,
late_MK,ITGA2B,ITGB3,CLK1,,,,,
lymphoid progenitor,CD34,SPINK2,IL7R,KIT,,,,
pDC,CLEC4C,JCHAIN,IRF7,,,,,
